date,close,volume,open,high,low
,,,,,
1/29/2016,125.76,7616144,123.17,125.76,122.75
1/28/2016,122.28,4868943,121.97,122.69,120.31
1/27/2016,121.57,5407642,122.46,124.32,120.86
1/26/2016,122.2,4469344,121.73,122.45,120.64
1/25/2016,121.71,4848860,123.38,123.85,121.56
1/22/2016,122.76,6553875,121.64,124.67,121.58
1/21/2016,120.22,8992723,117.38,121.94,117.14
1/20/2016,116.46,11329730,117.89,118.66,113.5865
1/19/2016,119.76,6343204,120.54,121.89,118.8
1/15/2016,119.23,10514790,117.12,121.15,116.1
1/14/2016,119.62,13380210,121.29,121.515,118.2
1/13/2016,121.4,8915501,127.47,127.47,120.97
1/12/2016,127.49,5686249,126.78,128.8,125.83
1/11/2016,125.78,6784380,124.87,126.08,124.09
1/8/2016,123.9,7094629,126.44,126.53,123.5
1/7/2016,125.4,12542370,126.93,127.88,124.7
1/6/2016,129.08,8198704,129,129.9,128.56
1/5/2016,130.43,5316011,131.15,131.94,130.05
1/4/2016,131.07,8046245,130.11,131.07,129.45
12/31/2015,132.25,3178722,133.08,133.5684,132.24
12/30/2015,133.35,2484809,133.58,134.06,133.28
12/29/2015,133.7,3037199,133.37,134.3299,133.276
12/28/2015,132.68,2607218,132.25,132.9,131.89
12/24/2015,132.9,1517075,132.8,133.48,132.66
12/23/2015,133.11,3240828,132.49,133.34,131.88
12/22/2015,131.88,3398101,131.37,132.2815,130.46
12/21/2015,131.31,3409668,131,131.61,130.18
12/18/2015,130.29,9807483,130.73,131.31,130.015
12/17/2015,131.35,4342642,133.06,133.54,130.995
12/16/2015,132.9,4707901,132.17,133.28,130.36
12/15/2015,131.29,4921673,132.62,133.49,131.19
12/14/2015,132.01,5954492,131.09,132.1255,130.71
12/11/2015,130.44,5300539,131.09,132.19,130.31
12/10/2015,132.54,4186201,131.96,133.59,131.8
12/9/2015,131.9,5054959,133.21,134.78,131.51
12/8/2015,133.84,4731195,132.71,134.56,132.41
12/7/2015,133.93,5443157,134,134.79,133.1896
12/4/2015,134.53,5386788,131.55,134.8299,131.35
12/3/2015,130.93,6687458,133.52,134.12,130.8
12/2/2015,133.81,5021711,134.56,134.65,133.57
12/1/2015,134.43,5267125,133.52,134.63,133.26
11/30/2015,133.88,7922742,135.2,135.32,133.01
11/27/2015,134.74,3337790,134.81,135.47,134.53
11/25/2015,134.65,5299413,133.69,135.24,133.55
11/24/2015,133.6,6670001,131.93,133.93,131.74
11/23/2015,132.5,6328626,130.21,132.64,130.21
11/20/2015,130.21,8187484,127.36,130.21,127.09
11/19/2015,126.86,4658096,126.53,127.62,125.95
11/18/2015,126.54,6489105,126.44,126.73,124.66
11/17/2015,126.18,10508290,124.86,126.34,123.1
11/16/2015,120.84,7769342,120.05,121.03,118.61
11/13/2015,120,8718716,123.1,123.25,119.9
11/12/2015,123.81,4282942,124.18,124.97,123.06
11/11/2015,124.71,3247436,125.43,125.43,124.52
11/10/2015,125.26,3872569,124.49,125.41,124.04
11/9/2015,124.5,4988613,125.8,126.12,123.71
11/6/2015,125.98,3751456,125.27,126.1092,124.82
11/5/2015,125.72,3080925,125.46,126.008,124.95
11/4/2015,125.38,4101588,125.48,125.87,124.62
11/3/2015,125.66,4313696,124.23,126.04,123.81
11/2/2015,124.41,3715524,124.24,124.64,123.38
10/30/2015,123.64,4991511,123.27,124.75,123.27
10/29/2015,123.63,4635293,123.42,124.07,122.75
10/28/2015,123.82,6821538,124.38,124.59,122.22
10/27/2015,124.47,3674795,124.51,125.09,123.82
10/26/2015,125.01,4550013,124.55,125.66,124.02
10/23/2015,124.61,5278729,125.01,125.75,122.97
10/22/2015,124.36,5854207,123.9,124.48,122.88
10/21/2015,123.3,3491996,123.29,124.02,122.75
10/20/2015,122.85,3318157,122.89,123.17,122.35
10/19/2015,123.1,3096601,122.61,123.2,122.2
10/16/2015,122.74,4064197,121.63,122.82,121.63
10/15/2015,121.81,3444075,120.62,122.03,120.4
10/14/2015,120.27,5200401,121.33,121.88,119.56
10/13/2015,121.61,2968903,121.77,122.29,121.14
10/12/2015,121.9,2861888,121.49,122.45,121
10/9/2015,121.33,3893261,121.27,121.5,120.47
10/8/2015,121.06,4954066,119.31,121.23,119.15
10/7/2015,119.65,4810650,119.2,119.84,118.49
10/6/2015,118.68,5272348,119.1,119.2,117.97
10/5/2015,119.2,4528383,118.75,119.29,117.91
10/2/2015,117.81,4359213,115.56,117.9,114.71
10/1/2015,117.03,5208609,116.23,117.13,114.74
9/30/2015,115.49,5389841,114.37,115.63,114
9/29/2015,112.91,7904719,114.21,114.93,111.8
9/28/2015,114.1,5990974,116.53,117.38,113.85
9/25/2015,116.74,5477767,117.23,118.165,116.04
9/24/2015,116.34,5169510,115.34,116.65,114.8401
9/23/2015,116.17,4084807,115.85,116.55,115.66
9/22/2015,115.8,4629943,115.4,116.39,114.89
9/21/2015,116.58,5201539,115.96,117.11,115.27
9/18/2015,115.12,11364370,116.51,117.2,114.98
9/17/2015,117.91,6547673,118.33,119.82,117.271
9/16/2015,117.82,5282176,116.08,118.025,115.97
9/15/2015,116.18,4991266,114.78,116.63,113.9
9/14/2015,114.73,4247741,115.5,115.68,114.415
9/11/2015,115.44,4472436,113.97,115.46,113.7
9/10/2015,114.49,5253580,114,115.41,113.69
9/9/2015,113.97,5286652,117.11,117.47,113.7
9/8/2015,116.43,5775492,115.69,116.64,114.73
9/4/2015,114.42,5748848,114.68,115.69,113.49
9/3/2015,116.6,5290782,117.03,118.08,116.18
9/2/2015,116.48,6486188,114.83,116.48,114.32
9/1/2015,113.07,7388487,113.99,114.75,112.56
8/31/2015,116.46,5443965,117.01,117.49,115.93
8/28/2015,117.52,5015891,117.43,118.46,116.92
8/27/2015,117.66,7569258,117.5,118.09,115.33
8/26/2015,115.93,9309031,114.06,116.03,112.08
8/25/2015,110.97,10211810,117,117,110.89
8/24/2015,112.54,13981320,110.05,115.88,92.1685
8/21/2015,116.16,10180150,119.54,120.36,116.15
8/20/2015,120.54,5554262,121.98,122.53,120.54
8/19/2015,122.76,6487106,122.67,123.79,122.13
8/18/2015,122.8,11020570,121.83,123.8,121.15
8/17/2015,119.7,7236355,119.1,120.75,118.73
8/14/2015,119.75,5133922,119.3,119.89,118.46
8/13/2015,119.02,6255309,118,120.14,117.79
8/12/2015,117.69,4619961,117.13,117.88,115.7
8/11/2015,117.69,4080003,117.02,118.14,116.76
8/10/2015,117.6,3408870,117.53,118.34,117.36
8/7/2015,116.93,3985469,116.7,117.16,115.78
8/6/2015,116.56,4768769,118.39,118.5,116.07
8/5/2015,118,4299026,118.38,118.53,117.1001
8/4/2015,117.53,3005356,116.63,117.82,116.25
8/3/2015,116.89,3645105,117.62,117.7,116.16
7/31/2015,117.03,4301048,116.98,118.13,116.37
7/30/2015,116.46,3290936,115.94,116.74,115.345
7/29/2015,116.37,5100276,115.16,116.76,115.11
7/28/2015,114.84,4176783,113.76,115.03,113.18
7/27/2015,113.07,4465267,113.37,113.89,112.71
7/24/2015,113.59,4427420,114.74,115.23,113.43
7/23/2015,114.59,4308850,115.21,116.11,114.43
7/22/2015,114.9,5483043,113.96,115.08,113.8
7/21/2015,113.86,4658165,113.41,113.97,112.678
7/20/2015,113.41,6107437,112.25,114.1095,112.17
7/17/2015,114.47,5497466,114.49,115,114
7/16/2015,114.73,5234624,115.87,115.91,113.83
7/15/2015,115.58,3365021,115.42,116.15,115.07
7/14/2015,115.36,3688831,114.5,115.53,114.39
7/13/2015,114.9,4168032,114.21,115.02,114.0655
7/10/2015,113.1,4631403,112.67,113.48,112.09
7/9/2015,111.38,3642461,112.32,112.59,111.2
7/8/2015,111,3793965,111.72,112.46,110.8
7/7/2015,112.4,5515747,111.72,112.6399,110.7
7/6/2015,111.32,3864564,110.27,111.93,110.17
7/2/2015,111.49,3845043,112.58,112.75,111.1
7/1/2015,112.07,4213677,112.45,112.81,111.47
6/30/2015,111.13,5938639,111.15,111.76,110.59
6/29/2015,110.54,5185549,111.56,112.32,110.46
6/26/2015,112.6,4169908,112.77,113.34,112.23
6/25/2015,112.24,4466982,113.24,113.71,112.24
6/24/2015,112.35,3716056,112.94,113.68,112.35
6/23/2015,113.18,3075714,113.24,113.59,112.93
6/22/2015,113.07,3190171,112.93,113.62,112.78
6/19/2015,112.43,9198689,111.64,113.3,111.44
6/18/2015,111.85,7222290,111.06,112.3,110.76
6/17/2015,110.47,5722044,110.73,111.29,109.96
6/16/2015,110.23,3466508,109.9,110.45,109.75
6/15/2015,110.01,3965003,110.23,110.455,109.55
6/12/2015,110.6,4301814,110.89,111.59,110.415
6/11/2015,111.29,3642764,111,112.33,111
6/10/2015,110.98,3967821,109.9,111.19,109.39
6/9/2015,109.53,3658009,109.79,110.25,109.03
6/8/2015,109.93,3449460,110.14,110.81,109.83
6/5/2015,110.37,4504835,111.34,111.36,110.27
6/4/2015,111.46,4328286,112.52,113.16,111.1745
6/3/2015,113.16,6337495,111.72,113.48,111.45
6/2/2015,111.59,6088000,110.75,112.18,110.64
6/1/2015,111.67,5114792,111.97,112.34,111.25
5/29/2015,111.42,5308473,111.84,112.59,111.37
5/28/2015,112.19,2805141,111.91,112.7,111.86
5/27/2015,112.16,4147590,111.04,112.53,110.81
5/26/2015,110.93,4609606,112,112.18,110.69
5/22/2015,112.16,3693382,111.87,112.53,111.46
5/21/2015,112.01,4237562,111.98,112.3299,111.62
5/20/2015,112.1,7003181,112.19,112.89,111.22
5/19/2015,112.34,11129240,116.12,116.48,112.34
5/18/2015,114.33,6849372,113.87,114.6,113.16
5/15/2015,113.35,4565344,111.92,113.4,111.82
5/14/2015,111.94,3815483,112.05,112.22,110.83
5/13/2015,111.19,4340551,112.92,112.95,111.1
5/12/2015,112.52,4051081,111.12,112.82,110.83
5/11/2015,111.9,3724195,112.24,112.91,111.81
5/8/2015,112.47,6435206,112.4,113.4825,112.11
5/7/2015,110.04,5399920,108.4,110.7199,108.25
5/6/2015,108.31,3996633,108.2,108.91,107.2401
5/5/2015,108.06,4164181,109.2,109.88,107.98
5/4/2015,110.06,3366614,109.94,110.4497,109.32
5/1/2015,109.55,6696297,106.98,109.79,106.85
4/30/2015,106.98,9036894,108.56,109.21,106.62
4/29/2015,108.71,7230859,110.17,110.31,108.07
4/28/2015,110.58,5743170,110.9,111.77,110.05
4/27/2015,111.39,5617188,114.05,114.11,111.28
4/24/2015,113.7,2879114,113.88,114.04,112.9
4/23/2015,113.96,3945180,112.74,114.51,112.56
4/22/2015,112.99,4065277,113.2,113.31,112.19
4/21/2015,113.17,3899593,113.5,113.98,112.5
4/20/2015,112.86,4396662,113,113.69,112.68
4/17/2015,112.1,6243558,112.91,113.11,111.7701
4/16/2015,113.37,4012490,113.34,113.99,113.02
4/15/2015,113.45,4210840,114.58,115.21,113.38
4/14/2015,114.05,4072426,114.2,114.98,113.11
4/13/2015,114.44,2981806,114.96,115.43,114.35
4/10/2015,115.24,3658058,114.47,115.65,114.42
4/9/2015,114.57,4673830,115.46,116.2446,114.14
4/8/2015,115.59,3750565,113.97,115.81,113.83
4/7/2015,114.3,3189099,114.83,115.79,114.23
4/6/2015,114.95,3249993,113.45,115.55,113.41
4/2/2015,114.54,4064897,112.61,114.92,112.52
4/1/2015,113.13,4737287,113.88,114,112.43
3/31/2015,113.61,4126894,113.7,115.37,113.55
3/30/2015,114.63,3965423,114.96,116.05,114.53
